album_artist,album,track,title,artist,duration,catalog_date
,Adaptation,04/06,5 Percenter,MYK & Shirosky,215.484082,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,16/17,Slowy FloFilz 12Vince - Crewpiece,Flowy x Flofliz x 12Vince,188.212245,2019-08-18
Breezewax,Distant Rhythms EP,1,Love Story ft. Movin,Breezewax,155.506939,2019-08-18
The Jazz Jousters,Sugarcane,5,Among The Reeds,Bones The Beat Head,174.393469,2019-08-18
,The Break of Dawn,04/11,Masquerade / The Night Watch,Blue in Green,268.486531,2019-08-18
Blazo,Colors of Jazz,01/18,Natural Green,Blazo,143.595125,2019-08-18
,Gedankenstrich​/​Geld,03/04,Geld,Slowy&12Vince,162.298776,2019-08-18
,,,some.nature,wun two,739.004082,2019-08-18
DJ Ezasscul,Jazz Meditation Trilogy: Deluxe Edition,12/40,My Girl,DJ Ezasscul,166.347792,2019-08-18
,Lyrics No Stress,01/04,Lyrics No Stress featuring Guile & Versatile E,Funky DL,250.462041,2019-08-18
,,,Alive Ft. Muc J,Waju,172.016327,2019-08-18
Ljones,Soul Below,10,Always Find You,Ljones,175.777959,2019-08-18
ElyonBeats,Mindless Beats,04/21,Big Brother,ElyonBeats,278.961667,2019-08-18
,,,Wonder,Tom Misch,122.723265,2019-08-18
Nujabes,Spiritual State,11,Fellows,Nujabes,123.924917,2019-08-18
FloFilz x Pawcut,Duplex LP,12,"B3 - dasNaturelle feat. Denkmaschine, DerBenman&Joespace",FloFilz,197.537959,2019-08-18
blu & exile,give me my flowers while i can still smell them,03/17,maybe one day (featuring black spade of the hawthorne headhunters),blu & exile,236.486531,2019-08-18
Azure,Mint Condition,4,Slow Motion Ft. LV,Azure,184.842449,2019-08-18
,Soft Focus,15,Let It Be Me,Vanilla,52.297167,2019-08-18
Smoovth,Treasures,2,Walkin' Down The Hall (Prod. Scifi Stu),Smoovth,170.814694,2019-08-18
,Fifth of Never,,Girlfriend,JONMCXRO,270.367347,2019-08-18
,,,Jazz4datazz,beatvadda,80.117551,2019-08-18
,,,Spirited Beginning (Nujabes Tribute),Thomas Prime,261.642449,2019-08-18
Mr. Short Khop,Dollaz Drank & Dank,,"Dollaz, Drank  Dank",Mr. Short Khop ft. Kokane,266.527375,2019-08-18
tajima hal&percent c / toshiki hayashi,Thin Lines,8,LocalTube,tajima_hal,179.539592,2019-08-18
,For What It's Worth,06,Travels,Vanilla,100.702042,2019-08-18
,,,Wind (jazzy joint),Tom Misch,148.976327,2019-08-18
Blazo,Colors of Jazz,14/18,Transient Sepia,Blazo,214.700417,2019-08-18
Funky DL,The Ultimate Collection,7/37,You Really Love That,Funky DL,260.101224,2019-08-18
Vagabond Maurice,Stray Sessions,4,Session 05 - Kame Sennin / Peace Gangster Stardust [Prod. by Cosmo],Vagabond Maurice,144.091429,2019-08-18
,,,愛密集,Shing02 / Yakkle,204.672000,2019-08-18
,stop-rokkasho podcast feed,16,Rokkasho (Nomak Remix),Nomak / Shing02 (Team 6),426.919250,2019-08-18
,Nocturnal Creature,10,Joe's,Elyon Beats,198.661224,2019-08-18
Blazo,Colors of Jazz 2,11/18,Lively Purple,Blazo,225.802458,2019-08-18
,Soft Focus,05,Still Love U,Vanilla,188.160000,2019-08-18
,,,feelsona,wun two,231.941224,2019-08-18
Shing02 + DJ $HIN,1200 Ways,04/12,When You Come Around,Shing02 + DJ $HIN,302.680833,2019-08-18
,,,Reminisce Prod. Philanthrope,SmooVth,156.499592,2019-08-18
Nujabes,Spiritual State,07,Dawn on the Side,Nujabes,315.506958,2019-08-18
Blazo,Colors of Jazz 2,17/18,Dark Sepia,Blazo,173.061250,2019-08-18
Vagabond Maurice,Stray Sessions,5,Session 06 - Escaping the Astral Plane [Prod. by Leyone Tracks],Vagabond Maurice,154.305306,2019-08-18
DJ Ezasscul,Melodic Therapy,05/18,One Time,DJ Ezasscul,280.058792,2019-08-18
,,,ode to nujabes.,KT✿PARK,218.958367,2019-08-18
Ljones,Soul Below,13,It ain't hard to tell (LJ RMX),Ljones,206.288980,2019-08-18
Freddie Joachim,WAITING,1,We Wrote A Song About It,Freddie Joachim,187.924898,2019-08-18
aso.,chill tape vol.2,3,morning smiles.,aso.,86.961633,2019-08-18
,,,Jazz Moment.,aso.,149.080816,2019-08-18
,,01,Twinkle World,Nomak,295.053083,2019-08-18
Kariu the Gameboy,Don't let the Ape's Escape side A,,Making Waves(BONUS TRACK),Kariu the Gameboy,213.912000,2019-08-18
,Looking Backwards: 2001-1998,11,That's It,The Sound Providers,262.870204,2019-08-18
,True Indeed,10,They Call Me...,Surreal and The Sound Providers,297.613061,2019-08-18
,Vagabond,15/16,"Ciao, Breezy",Breezewax,206.419592,2019-08-18
,,,Paper Planes Yakkle Remix,Yakkle,251.271875,2019-08-18
,,,Dutchmin - Get Your Swerve On (MonoMassive Remix),Mono:Massive,176.718367,2019-08-18
,Jazz Sessions LP (2013),04/12,Sweez,Stan Forebee,171.990204,2019-08-18
DJ OKAWARI,A Cup of Coffee - Single,01/02,A Cup of Coffee,DJ OKAWARI,273.763292,2019-08-18
,True Indeed,07,Night to Remember,Surreal and The Sound Providers,237.531429,2019-08-18
Blazo,Colors of Jazz 2,15/18,Sunrise Yellow,Blazo,183.719208,2019-08-18
Funky DL,The Ultimate Collection,25/37,Heart of Faith,Funky DL,217.861224,2019-08-18
Stan Forebee,Reflections,05/06,Breathe,Stan Forebee,201.586939,2019-08-18
,,,De La soul / stakes is high (mad Jazzy Remix),mad smoky,323.892245,2019-08-18
,,,Hard 2 Get (Feat​.​Jas Mace of The49ers),A June & J Beat,214.099592,2019-08-18
Nujabes,Spiritual State,04,Spiral,Nujabes,220.969833,2019-08-18
,A Weekend With Elyonbeats,01,Thursday - Waiting For You,Elyon,231.627755,2019-08-18
Scarface,The Fix,05/13,On My Block,Scarface,214.230189,2019-08-18
,Cross Chatter,12,Life Ft. Odd2C,NohaBeats,186.409796,2019-08-18
,True Indeed,05,Truth Be Told,Surreal and The Sound Providers,295.680000,2019-08-18
nujabes featuring Shing02 / Uyama Hiroto,Luv(sic) Grand Finale / Part 6,,Luv(sic) Grand Finale / Part 6,nujabes featuring Shing02 / Uyama Hiroto,318.458792,2019-08-18
The Jazz Jousters,Calculation,02,Power of Music,Slim The Chemist,200.594292,2019-08-18
Blazo,Colors of Jazz 2,02/18,Flowing Violet,Blazo,158.746125,2019-08-18
,,,trashy tribute ft. masego,.sinh,158.145306,2019-08-18
,,,Love Is Like (Feat. Yarrow Slaps),A June & J Beat,157.413878,2019-08-18
,Art Session,04,Just A Kiss,Sinitus Tempo,169.639184,2019-08-18
Ljones,Soul Below,9,July,Ljones,241.946122,2019-08-18
,below the heavens,07/15,dancing in the rain,blu & exile,265.848163,2019-08-18
,For What It's Worth,12,Kalimba,Vanilla,126.145333,2019-08-18
,,,Autumn,mad smoky,194.377143,2019-08-18
Joseph Jacobs,Better Frame of Mind,09/09,This is How it Goes,Joseph Jacobs,201.325714,2019-08-18
Ralph Myerz,Ralphorama!,08/20,"Grey Goose (feat. Talib Kweli, Mitcht Slick, Phil the Agony, & Krondon)",Ralph Myerz,286.589417,2019-08-18
DJ Ezasscul,Jazz Meditation Trilogy: Deluxe Edition,05/40,Let's Do This Again,DJ Ezasscul,146.207375,2019-08-18
,Fellowship,,Sunrise,Rythmatical,167.000878,2019-08-18
,Jazz Sessions LP (2013),09/12,Perfect Your Own,Stan Forebee,187.062857,2019-08-18
,True Indeed,11,Life & Rhymes,Surreal and The Sound Providers,289.880816,2019-08-18
Flowy x Flofliz x 12Vince,DIALOG,08/17,Slowy FloFilz 12Vince - Chameleon,Flowy x Flofliz x 12Vince,148.976327,2019-08-18
,,,Dilla Love,Tom Misch,141.348571,2019-08-18
The Jazz Jousters,Calculation,13,La Brisa De La Isla,Scaley WaleZ,185.704500,2019-08-18
Nicholas Cheung,I AM,7,DAT JAZZ,Nicholas Cheung,218.435918,2019-08-18
Robert Glasper,Black Radio,02/12,Afro Blue Feat. Erykah Badu,Robert Glasper/Erykah Badu,314.017959,2019-08-18
ElyonBeats,Mindless Beats,03/21,Angelina,ElyonBeats,230.635125,2019-08-18
,ROS - Rocking With Elegance,08/14,Deal Or No Deal,Kaleo,195.631042,2019-08-18
,Fifth of Never,,Don't Say Nothin' (Feat. JoJo),JONMCXRO,250.096327,2019-08-18
The Jazz Jousters,Calculation,11,Next Time,Oldy Clap Recordz,172.094708,2019-08-18
Blazo,Colors of Jazz,03/18,Fragile Gold,Blazo,177.031875,2019-08-18
Ljones,Soul Below,4,"Feelings, mutual",Ljones,214.439184,2019-08-18
tajima hal&percent c / toshiki hayashi,Thin Lines,3,Freiheit,tajima_hal,165.903673,2019-08-18
,Looking Backwards: 2001-1998,07,Choc Promo,The Sound Providers,108.120816,2019-08-18
,First Time EP,02,Wavering,Sinitus Tempo,182.831020,2019-08-18
,,,Timeless,Tom Misch,157.466122,2019-08-18
Sinitus Tempo,Caged Bird,07/16,Fly High,Sinitus Tempo,167.810612,2019-08-18
Sinitus Tempo,Journey,13,Rain,Sinitus Tempo,218.514286,2019-08-18
Blazo,Colors of Jazz,09/18,Illusive Azure,Blazo,179.696333,2019-08-18
nujabes,Luv(sic) Part 5 featuring Shing02 - Single,01/01,Luv(sic) Part 5 featuring Shing02,nujabes,349.622875,2019-08-18
FloFilz x Pawcut,Duplex LP,16,B7 - Halcyon,FloFilz,139.572245,2019-08-18
Magnetic North & Taiyo Na,Home:Word (Deluxe Edition),05/15,La La La (feat. Ruth Cho),Magnetic North & Taiyo Na,265.926542,2019-08-18
,Like Water For Chocolate,07/16,The Questions,Common,253.727347,2019-08-18
,,,Saib. x [ocean jams] - Dreamin',[ocean jams],63.059592,2019-08-18
,Museum,13,Where's the Beat,ElyonBeats,249.417167,2019-08-18
Blazo,Colors of Jazz 2,10/18,Light Blue,Blazo,176.222042,2019-08-18
tajima hal&percent c / toshiki hayashi,Thin Lines,2,lost in the star,percent c / toshiki hayashi,136.202449,2019-08-18
ElyonBeats,Mindless Beats,05/21,Fantasia,ElyonBeats,242.886542,2019-08-18
blu & exile,give me my flowers while i can still smell them,10/17,good morning neighbor,blu & exile,125.048163,2019-08-18
Azure,Mint Condition,9,Love Supreme Ft. Jeni Suk,Azure,382.302041,2019-08-18
,Blue Silk Instrumentals,09/11,Gods Love Lasts Forever (Instrumental),Funky DL,233.639184,2019-08-18
,,,On and On,Wodoo Wolcan,230.713469,2019-08-18
,Spiritual State,05,City Lights (featuring Pase Rock & Substantial),Nujabes,194.298776,2019-08-18
,,,Wievielemicros (wun two remix (beatvadda´s naturdarm tape)),wun two,196.858776,2019-08-18
Blazo,Colors of Jazz,10/18,Brisk Yellow,Blazo,117.760000,2019-08-18
,True Indeed,02,Just Getting Started,Surreal and The Sound Providers,240.039184,2019-08-18
